,text,sentiment,negative_reason,clean,twitter_handles,hashtags_all
2293,bTrump adviser Stephen Miller reveals aggressive secondterm immigration agendannThe immigration hardliner says,0,crime,bTrump adviser Stephen Miller reveals aggressive secondterm immigration agendannThe immigration hardliner,,
2294,bRT KathyJGoodman DonaldJTrumpJr Hillarys emails Wheres Jim Comey when you need him TrumpIsLosing nBidenHarris2020,1,,bRT KathyJGoodman DonaldJTrumpJr Hillarys emails Wheres Jim Comey TrumpIsLosing nBidenHarris2020,@KathyJGoodman @DonaldJTrumpJr,#TrumpIsLosing #BidenHarris2020
2295,bRT mylittlecorne11 Trumpgot2go IndKingCountyWA actblue Already have BidenHarris2020,1,,bRT mylittlecorne11 Trumpgot2go IndKingCountyWA actblue Already BidenHarris2020,@mylittlecorne11 @Trumpgot2go @IndKingCountyWA @actblue,#BidenHarris2020
2296,bSituation Update 4  Dr Morris coronavirus corona covid covid19 covid19,1,,bSituation Update 4 Dr Morris coronavirus corona covid covid19 covid19,,#4 #coronavirus #corona #covid #covid19 #covid
2297,bRT RealBasedMAGA Im not worried about realDonaldTrump being reelected nnIm concerned about the global coup attempts after,0,crime,bRT RealBasedMAGA Im worried realDonaldTrump reelected nnIm concerned global coup attempts,@RealBasedMAGA @realDonaldTrump,
2298,banother national lockdown can get fucked right off Lockdown2 coronavirus,0,corruption,banother national lockdown fucked Lockdown2 coronavirus,,#Lockdown2 #coronavirus
2299,bRT Helenhs 4 days to go  Twitter just limited my account for 3 nnTo say pissed is putting it mildly nnvote nnEncouraging,0,corruption,bRT Helenhs 4 days Twitter limited account 3 nnTo pissed putting mildly nnvote nnEncouraging,@Helenhs,#vote
2300,bHonk if you think PresidentialCampaign is a comedy,1,,bHonk PresidentialCampaign comedy,,#Honk #PresidentialCampaign
2301,bRT DebraMessing COVID DEATHS ARE RISING nntrump and lil trump are saying its GONE nnNO MORE LIES NO MORE CHAOS VOTE,1,,bRT DebraMessing COVID DEATHS ARE RISING nntrump lil trump GONE nnNO MORE LIES NO MORE CHAOS VOTE,@DebraMessing,#COVID #trump #VOTE
2302,bManitoba COVID19 case numbers went rom 193 yesterday to 480 today But dont worry BrianPallister you can still,0,crime,bManitoba COVID19 case numbers rom 193 yesterday 480 today But dont worry BrianPallister,@BrianPallister,#COVID19
2303,bRT Unknwnstuntman For my two uncles who were hanged and castrated in Mississippi for trying to exercise this very right I am their,1,,bRT Unknwnstuntman For uncles hanged castrated Mississippi exercise I,@Unknwnstuntman,
2304,brealDonaldTrump speaks fuzzy haze nnrealDonaldTrump slow the Covid19 US spread now nnDont wait for,1,,brealDonaldTrump speaks fuzzy haze nnrealDonaldTrump slow Covid19 US spread nnDont wait,@realDonaldTrump @realDonaldTrump,#Covid
2305,RETWEET,1,,RETWEET,,
2306,bRT captainmilosays Milo We have school next Tuesday WhynMom voting day We gotta pick out a new president nMilo Oh,1,,bRT captainmilosays Milo We school Tuesday WhynMom voting day We ta pick president nMilo Oh,@captainmilosays,
2307,bOf course Trump would accuse doctors of profiteering from the coronavirus  is PRECISELY what he,0,crime,bOf course Trump accuse doctors profiteering coronavirus PRECISELY,,#Trump #doctors #coronavirus
2308,bLateLateShow when will MichealMartinTD be on with his Book how my ASS was kicked by LeoVaradkar the price you,0,crime,bLateLateShow will MichealMartinTD Book ASS kicked LeoVaradkar price,@MichealMartinTD @LeoVaradkar,#LateLateShow
2309,bRT cassandra17lina Under the Trump ReignOfError you can SAY MerryChristmas you just ENJOY a Merry Christmas nnwhich you,1,,bRT cassandra17lina Under Trump ReignOfError SAY MerryChristmas ENJOY Merry Christmas nnwhich,@cassandra17lina,#Trump #ReignOfError #MerryChristmas
2310,bWell if you are shut in and dont want to risk take out food I guess you are using your Tupperware,0,covid19,bWell shut dont risk food I guess Tupperware,,
2311,bTrump and his cronies are all corrupt and HUGE LIARS VoteTrumpOut VoteTheCorruptedGOPOut Vote Out,0,covid19,bTrump cronies corrupt HUGE LIARS VoteTrumpOut VoteTheCorruptedGOPOut Vote Out,,#VoteTrumpOut #VoteTheCorruptedGOPOut #Vote
2312,bRT Cleavon_MD realDonaldTrump girl 13nAnna Carter from Fort Sill OK died from COVID She was funny  outgoing in everything,1,,bRT Cleavon_MD realDonaldTrump girl 13nAnna Carter Fort Sill OK died COVID She funny outgoing,@Cleavon_MD @realDonaldTrump,#COVID
2313,bWho wants a bet that Boris one month lockdown turns into 6 months COVID19 covid,1,,bWho bet Boris month lockdown turns 6 months COVID19 covid,,#COVID19 #covid
2314,bRT MaryFernando_ Given that you would like to protect people against misinformation about COVID because lives are at stake,1,,bRT MaryFernando_ Given protect people misinformation COVID lives stake,@MaryFernando_,#misinformation #COVID
2315,bBidenHarris2020nBlueWave2020nVote trumps fat ass out of the bunker and the WH,0,discrimination,bBidenHarris2020nBlueWave2020nVote trumps fat ass bunker WH,,#BidenHarris2020 #BlueWave2020
2316,bTheSilentMoe JoeBiden I wonder what is in todays news Anything about the unfolding JoeBiden international,1,,bTheSilentMoe JoeBiden I wonder todays news Anything unfolding JoeBiden international,@TheSilentMoe @JoeBiden @JoeBiden,
2317,bIts this or grab her by the pussy vote BidenHarris2020 BidenHarrisToSaveAmerica and,1,,bIts grab pussy vote BidenHarris2020 BidenHarrisToSaveAmerica,,#vote #BidenHarris2020 #BidenHarrisToSaveAmerica
2318,bJesseRodriguez Disgusting Using the Bible beside a gun for a photo op Maybe you should OPEN THAT BIBLE AND,0,discrimination,bJesseRodriguez Disgusting Using Bible gun photo op Maybe OPEN THAT BIBLE AND,@JesseRodriguez,
2319,bKeith Ellison tried to close down Donald J Trumps rally tonight and silence Trump supporters Yet Keith,1,,bKeith Ellison close Donald J Trumps rally tonight silence Trump supporters Yet Keith,,#Trump
2320,bRT johnwickrules Make China Pay nn ChinaVirus nChina ChinaJoeBiden Trump CCP_is_terrorist XiJinping,0,crime,bRT johnwickrules Make China Pay nn ChinaVirus nChina ChinaJoeBiden Trump CCP_is_terrorist XiJinping,@johnwickrules,#ChinaVirus #China #ChinaJoeBiden #Trump #CCP_is_terrorist #XiJinping
2321,bRT icecreamonacone chrislhayes he   him to stay quiet until after the  here is some more T stuff,1,,bRT icecreamonacone chrislhayes stay quiet T stuff,@icecreamonacone @chrislhayes,
2322,bRT HeatherChilders Insightful piece by my friend HeatherNauert on China and Covid nPlease read,1,,bRT HeatherChilders Insightful piece friend HeatherNauert China Covid nPlease read,@HeatherChilders @HeatherNauert,#China #Covid
2323,bJoeBiden My 6 yr old daughter knows what to do She wait for you to be her President BidenHarris2020 VOTE,1,,bJoeBiden My 6 yr daughter She wait President BidenHarris2020 VOTE,@JoeBiden,#BidenHarris2020 #VOTE
2324,bRT soloyochapin itsJeffTiedrich realDonaldTrump nytimes Criminal realDonaldTrump claims that JoeBiden is corrupt but lets not,0,covid19,bRT soloyochapin itsJeffTiedrich realDonaldTrump nytimes Criminal realDonaldTrump claims JoeBiden corrupt,@soloyochapin @itsJeffTiedrich @realDonaldTrump @nytimes @realDonaldTrump @JoeBiden,
2325,bJoe Biden leads nothing Never has never will a lie  gonna have his ass handed to him worse than,0,crime,bJoe Biden leads Never will lie gon ass handed worse,,
2326,bRT TonyPaul45 We are Taking America Back because a RED WAVE Coming Hurricane Trump is about to hit  MAGA Trump2020,1,,bRT TonyPaul45 We Taking America Back RED WAVE Coming Hurricane Trump hit MAGA Trump2020,@TonyPaul45,#MAGA #Trump2020
2327,bProblem Covid forces Lockdowns   WeLittlePeople PANIC  fear,0,covid19,bProblem Covid forces Lockdowns WeLittlePeople PANIC fear,,#Covid #WeLittlePeople #Poverty
2328,patented technology replicates Mother Nature to provide a constant stream of hydroxyls that destroy,0,crime,patented technology replicates Mother Nature provide constant stream hydroxyls destroy,,
2329,bRT LeadershipInst Despite the public apology students at the university have taken action in an attempt to remove Jenkins from his,0,others,bRT LeadershipInst Despite public apology students university action attempt remove Jenkins,@LeadershipInst,
2330,bthehill FFS another antiwoman woman Internalized sexism helps nobody Illegal nepotism aside this is just,0,covid19,bthehill FFS antiwoman woman Internalized sexism helps Illegal nepotism,@thehill,#sexism
2331,bTrump is  is the most insecure man Ive ever  guy needs to have his ego massaged daily or he would fall to,0,discrimination,bTrump insecure man Ive guy ego massaged daily fall,,#Trump
2332,bIngrahamAngle I wonder one day back and not sleep through shame TrumpCrimeFamily,0,covid19,bIngrahamAngle I wonder day sleep shame TrumpCrimeFamily,@IngrahamAngle,#TrumpCrimeFamily
2333,bRT mslove_TLB Anontruther911 risetoflyy Coronavirus is not airborne CDC report they formerly  was designed to be,1,,bRT mslove_TLB Anontruther911 risetoflyy Coronavirus airborne CDC report designed,@mslove_TLB @Anontruther911 @risetoflyy,#Coronavirus #SARSCoV2
2334,bTransition From RoomTemperature to ColdStored Platelets for the Preservation of Blood Inventories During the,1,,bTransition From RoomTemperature ColdStored Platelets Preservation Blood Inventories During,,
2335,bkushqueenO Ill be drunk until realDonaldTrump is drug out of office in handcuffsnBidenHarris2020 VOTE,0,corruption,bkushqueenO Ill drunk realDonaldTrump drug office handcuffsnBidenHarris2020 VOTE,@kushqueenO @realDonaldTrump,#BidenHarris2020 #VOTE
2336,bRT GroupHomesInc Hey Kentucky WTF is the matter with you You are near the bottom in education healthcare and you keep MoscowMitch,0,covid19,bRT GroupHomesInc Hey Kentucky WTF matter You bottom education healthcare MoscowMitch,@GroupHomesInc,#MoscowMitch
2337,bRT TransformARTive Little did I know doing my civic duty by voting early Election2020 would cost me an extra hour 15 Lyft  lost of,0,corruption,bRT TransformARTive Little I civic duty voting early Election2020 cost extra hour 15 Lyft lost,@TransformARTive,#Election2020
2338,bAs a Dutchman I want to say this about the US Elections2020 elections After all scandals that Trump is,0,others,bAs Dutchman I US Elections2020 elections After scandals Trump,,#Elections2020 #elections
2339,bRT sttbreakingnews For the week the DIA lost  the SPY dropped   the QQQ lost  the worst performance for the final 2,0,covid19,bRT sttbreakingnews For week DIA lost SPY dropped QQQ lost worst performance final 2,@sttbreakingnews,
2340,bsnidesnyder1 On behalf of my fellow longterm dog volunteers in Thailand and Cambodia thank you for not giving,1,,bsnidesnyder1 On behalf fellow longterm dog volunteers Thailand Cambodia,@snidesnyder1,
2341,bRT WCDemocrats VERY IMPORTANT THE ELECTION BUREAU HAS EXTENDED HOURS THIS WEEKEND MONDAY AND TUESDAY to reissue ballots to anyone,1,,bRT WCDemocrats VERY IMPORTANT THE ELECTION BUREAU HAS EXTENDED HOURS THIS WEEKEND MONDAY AND TUESDAY reissue ballots,@WCDemocrats,
2342,bEARLY VOTING ENDS TODAY IN TEXAS GO OUT AND VOOOOOOTE be a jerry nGoVOTE2020 BidenHarris2020,1,,bEARLY VOTING ENDS TODAY IN TEXAS GO OUT AND VOOOOOOTE jerry nGoVOTE2020 BidenHarris2020,,#GoVOTE2020 #BidenHarris2020
2343,bRT tizzywoman having a CupOfJoe w Katie She wants to keep her kids safe She knows that lies are dangerous and,0,others,bRT tizzywoman CupOfJoe Katie She kids safe She lies dangerous,@tizzywoman,#CupOfJoe
2344,bWomen are property Biden2020,1,,bWomen property Biden2020,,#Biden2020
2345,bRT Alon2T Second Amendment Is Dead Under BidenHarris2020 Video Proof JoeBiden KamalaHarris Will Retain BetoORourke to fetch your,0,others,bRT Alon2T Second Amendment Is Dead Under BidenHarris2020 Video Proof JoeBiden KamalaHarris Will Retain BetoORourke fetch,@Alon2T @JoeBiden @KamalaHarris @BetoORourke,#BidenHarris2020
2346,bRT HiphopnHorror How to defeat the the source Borat took out Giuliani  Lincoln Project took out,0,covid19,bRT HiphopnHorror How defeat source Borat Giuliani Lincoln Project,@HiphopnHorror,
2347,bDo we have to set our clocks back on Sunday and delay the Election2020 by an hour Asking for the,0,discrimination,bDo set clocks Sunday delay Election2020 hour Asking,,#Election2020
2348,bRT ChrisNovembrino New DWATG nnEp 487 Lincolnian Projectionsnfree to listen support the show to watchnnDiscussing,1,,bRT ChrisNovembrino New DWATG nnEp 487 Lincolnian Projectionsnfree listen support watchnnDiscussing,@ChrisNovembrino @DWATG,
2349,bRT TheLBJSchool Its the LAST DAY to vote early in TX Find your polling place at  make a plan mask up  cast,1,,bRT TheLBJSchool Its LAST DAY vote early TX Find polling place plan mask cast,@TheLBJSchool,
2350,b2 million lost health coverage 1000s died prematurely in Trumps first 3 years,0,corruption,b2 lost health coverage 1000s died prematurely Trumps 3 years,,
2351,bRT 1BIGLIFE Watch LIVE President Trump Holds MAGA Peaceful Protest in   via YouTube freedom,1,,bRT 1BIGLIFE Watch LIVE President Trump Holds MAGA Peaceful Protest YouTube freedom,@1BIGLIFE @YouTube,#freedom
2352,bHow do you feel about your misguided segments with AmyMcGrathKY being used against her by MoscowMitch just,1,,bHow feel misguided segments AmyMcGrathKY MoscowMitch,@AmyMcGrathKY,#MoscowMitch
2353,bLook its a Magat Covid Chart MAGAT COVID Stupidty Trumpsters killers,1,,bLook Magat Covid Chart MAGAT COVID Stupidty Trumpsters killers,,#MAGAT #COVID #Stupidty #Trumpsters #killers
2354,brealDonaldTrump Mr President after checking the available data and results of the Pandemic on the economy I,1,,brealDonaldTrump Mr President checking data Pandemic economy I,@realDonaldTrump,#Pandemic
2355,bMan  a sad day  had a crush on BrettFavre since he was a Falcon  BidenHarris2020,0,crime,bMan sad day crush BrettFavre Falcon BidenHarris2020,@BrettFavre,#BidenHarris2020
2356,bYamiche Has he ever thought in his tiny little brain that   WAS HIM What a joke BidenHarris2020 VoteEarly,1,,bYamiche Has thought tiny brain WAS HIM What joke BidenHarris2020 VoteEarly,@Yamiche,#BidenHarris2020 #VoteEarly
2357,bKrose7315 Wescramer525 50cent You can troll all you like but note that trump done anything FOR,1,,bKrose7315 Wescramer525 50cent You troll note trump FOR,@Krose7315 @Wescramer525 @50cent,#trump
2358,bHot potato but no one denies the  Biden China,0,others,bHot potato denies Biden China,,#Biden #China
2359,bshellyk13944334 KamVTV GhoSTorM143 SheepofftheJeep Why should they stop him What exactly has he done wrong,0,covid19,bshellyk13944334 KamVTV GhoSTorM143 SheepofftheJeep Why What exactly wrong,@shellyk13944334 @KamVTV @GhoSTorM143 @SheepofftheJeep,
2360,bNovember 3rd is the last day to vote Use your vote use your voice to get Trump out of office This election is,1,,bNovember 3rd day vote Use vote voice Trump office This election,,
2361,bSouth Dakota leads nation in cases hospitalizations and positive tests per 100000,1,,bSouth Dakota leads nation cases hospitalizations positive tests 100000,,
2362,bRT pippilngstkg Neither snow nor rain nor heat nor gloom of the  nnBidenHarris2020 nnVoteHimOut nnVoteBlueToSaveAmerica,0,discrimination,bRT pippilngstkg Neither snow rain heat gloom nnBidenHarris2020 nnVoteHimOut nnVoteBlueToSaveAmerica,@pippilngstkg,#BidenHarris2020 #VoteHimOut #VoteBlueToSaveAmerica
2363,bRT SueRMichael AnnieLinskey Nothing better than a pair of Eagles circling overhead for Joe Biden BidenHarris2020,1,,bRT SueRMichael AnnieLinskey Nothing better pair Eagles circling overhead Joe Biden BidenHarris2020,@SueRMichael @AnnieLinskey,#BidenHarris2020
2364,bRT JaneRemain I support  were I in America Id be voting for  both counts without any hesitation nnThere ARE,1,,bRT JaneRemain I support I America Id voting counts hesitation nnThere ARE,@JaneRemain,
2365,bThank you ForwardKy for the kind words nnowensby4congress govoteky vote Election2020,1,,bThank ForwardKy kind nnowensby4congress govoteky vote Election2020,@ForwardKy,#owensby4congress #govoteky #vote #Election2020
2366,bI hope that when Biden wins the election that he will have both an epidemiologist and a geneticist on his panel of science,1,,bI hope Biden wins election will epidemiologist geneticist panel science,,#Biden
2367,bRT knese_r kayleighmcenany Not worried about Joe  I were you Id be worried about finding another,0,corruption,bRT knese_r kayleighmcenany Not worried Joe I Id worried finding,@knese_r @kayleighmcenany,
2368,bRJGrandma ProjectLincoln MedicVet68 The uns are the future of our countryBidenHarris2020,1,,bRJGrandma ProjectLincoln MedicVet68 The uns future countryBidenHarris2020,@RJGrandma @ProjectLincoln @MedicVet68,#BidenHarris2020
2369,bRT TimFaulkner81 No shit Glenn nnThats why were voting for BidenHarris2020 and against satan,0,covid19,bRT TimFaulkner81 No shit Glenn nnThats voting BidenHarris2020 satan,@TimFaulkner81,#BidenHarris2020
2370,bRT frank_decastro BOBXQMAN was put in Twitter jail for trying to get the truth out not always pleasant but the choice to know,1,,bRT frank_decastro BOBXQMAN Twitter jail truth pleasant choice,@frank_decastro @BOBXQMAN,
2371,bRT Effie_ONB I met with survivornetca who shared findings of its Cancer Care Survey which assessed the disruption of cancer care,0,others,bRT Effie_ONB I met survivornetca shared findings Cancer Care Survey assessed disruption cancer care,@Effie_ONB @survivornetca,
2372,get something straight You have to vote for POTUS but you MUST vote AGAINST socialism and,1,,straight You vote POTUS MUST vote AGAINST socialism,,
2373,RETWEET CRAP,0,corruption,RETWEET CRAP,,
2374,bThe mental health of the Nation can not withstand any more of Trump and his disgusting behaviornTrumpCrimeFamily,0,discrimination,bThe mental health Nation withstand Trump disgusting behaviornTrumpCrimeFamily,,#TrumpCrimeFamily
2375,bFridayThoughts Election2020 VoteHimOut nnAnd even worse for Democrats and VoteBlue is their turnout is lower,0,crime,bFridayThoughts Election2020 VoteHimOut nnAnd worse Democrats VoteBlue turnout lower,,#FridayThoughts #Election2020 #VoteHimOut #VoteBlue
2376,bBostonGlobe Great to standup against the Democrat Biden racist antisemite party,1,,bBostonGlobe Great standup Democrat Biden racist antisemite party,@BostonGlobe,#Democrat #Biden #racist #antisemite
2377,bRT ErraticleeM time Police stand up for humanity and stop protecting government Rule all on the back of Lies,0,crime,bRT ErraticleeM time Police stand humanity protecting government Rule Lies,@ErraticleeM,
2378,bThe FBI and DHSgov said in a joint statement that Iranian hackers behind the threatening emails sent to,0,discrimination,bThe FBI DHSgov joint statement Iranian hackers threatening emails,@FBI @DHSgov,#Iranian
2379,bMilesTaylorUSA His white supremacy cult eat that up LatinosForTrump wearing thus MAGA hat are a laughing,1,,bMilesTaylorUSA His white supremacy cult eat LatinosForTrump wearing MAGA hat laughing,@MilesTaylorUSA,#LatinosForTrump #MAGA
2380,bRT deathorglory80 eilperin maggieNYT Its also interesting how more than 500000 Americans have been infected with a deadly virus,0,crime,bRT deathorglory80 eilperin maggieNYT Its interesting 500000 Americans infected deadly virus,@deathorglory80 @eilperin @maggieNYT,
2381,bHear from Chia Moua a member of the Portage County Board of Supervisors on why she is voting for the,1,,bHear Chia Moua member Portage County Board Supervisors voting,,
2382,bRT FreebieDepot Tell Politicians to STICK IT with this FREE Item  2020 Biden Deomocrat Election,1,,bRT FreebieDepot Tell Politicians STICK IT FREE Item 2020 Biden Deomocrat Election,@FreebieDepot,#2020 #Biden #Deomocrat #Election
2383,bRT DrAmbardar You know things are bad on the Left when Glenn Greenwald cant take it anymore Democrat,0,covid19,bRT DrAmbardar You things bad Left Glenn Greenwald cant Democrat,@DrAmbardar,#Democrat
2384,bRT ArunMehtaShow Join Arun and patty_b_miranda on ElectionDay as the results come in for the Election2020 All the news reactions,1,,bRT ArunMehtaShow Join Arun patty_b_miranda ElectionDay Election2020 All news reactions,@ArunMehtaShow @patty_b_miranda,#ElectionDay #Election2020
2385,bSo now that coronavirus is spreading even faster than the absolute worst case scenario what out,0,covid19,bSo coronavirus spreading faster absolute worst case scenario,,#coronavirus
2386,bThe Unbearable Burden of Pavlovian Whiteness and how it is destroying the predominantly White society  and,0,corruption,bThe Unbearable Burden Pavlovian Whiteness destroying White society,,#Whiteness #White
2387,bRT DebraMessing HELL YESSSSSSSSSSSSSSSSSS nnCNN SLAPPING DOWN a COVID19 denier Sorry 230000000 American deaths is a fucking,0,corruption,bRT DebraMessing HELL YESSSSSSSSSSSSSSSSSS nnCNN SLAPPING DOWN COVID19 denier Sorry 230000000 American deaths fucking,@DebraMessing @CNN,#COVID19
2388,brealDonaldTrump Youre so American but dont want all the votes counted Wow You are actually antiAmerican nBidenHarris2020,1,,brealDonaldTrump Youre American dont votes counted Wow You antiAmerican nBidenHarris2020,@realDonaldTrump,#BidenHarris2020
2389,bRT jimsterdotcom GOP realDonaldTrump We lost jobs because of my lack of leadership I cut my cronies taxes I cut regulations on,0,covid19,bRT jimsterdotcom GOP realDonaldTrump We lost jobs lack leadership I cut cronies taxes I cut regulations,@jimsterdotcom @GOP @realDonaldTrump,
2390,bRT OrganizeNH loving the support from our Massachusetts neighbors Tomorrow follow along with us to hear from elizabethwarren,1,,bRT OrganizeNH loving support Massachusetts neighbors Tomorrow follow hear elizabethwarren,@OrganizeNH @elizabethwarren,
2391,bMrRaceBannon wwsnoopy1 trump and the GOP does not,1,,bMrRaceBannon wwsnoopy1 trump GOP,@MrRaceBannon @wwsnoopy1,#trump #GOP
2392,bRT americandream09 In AMERICA Knowledge is POWER Ignorance is a Choicenn17Plusn News,0,covid19,bRT americandream09 In AMERICA Knowledge POWER Ignorance Choicenn17Plusn News,@americandream09,
2393,bjomalleydillon JoeBiden KamalaHarris are wasting time republican states georgia texas cuz trumpers are,0,corruption,bjomalleydillon JoeBiden KamalaHarris wasting time republican states georgia texas cuz trumpers,@jomalleydillon @JoeBiden @KamalaHarris,#republican #georgia #texas
2394,bIsnt ProjectLincoln dreamynnBidenHarris2020 nncc jaredkushner IvankaTrump realDonaldTrump,1,,bIsnt ProjectLincoln dreamynnBidenHarris2020 nncc jaredkushner IvankaTrump realDonaldTrump,@ProjectLincoln @jaredkushner @IvankaTrump @realDonaldTrump,#BidenHarris2020
2395,bOk I have a vote in this one but this took me freaking ages BidenHarris2020,0,corruption,bOk I vote freaking ages BidenHarris2020,,#BidenHarris2020
2396,bI am part of the liberal mob nI voted for BidenHarris2020 nI am also Disabled I Voted fornBidenHarris2020 nIm,1,,bI liberal mob nI voted BidenHarris2020 nI Disabled I Voted fornBidenHarris2020 nIm,,#BidenHarris2020 #BidenHarris2020
2397,bCatholicNewsSvc USCCB catholiccom CatholicDems CatholicDigest JoeBiden fighting for the soul of our nation,0,others,bCatholicNewsSvc USCCB catholiccom CatholicDems CatholicDigest JoeBiden fighting soul nation,@CatholicNewsSvc @USCCB @catholiccom @CatholicDems @CatholicDigest,#JoeBiden
2398,bThe GOP Objects To Charges Of Voter Suppression Have They Tried Not,0,covid19,bThe GOP Objects To Charges Of Voter Suppression Have They Tried Not,,
2399,bgreglaurie Sounds like Biden to meBiden2020,1,,bgreglaurie Sounds Biden meBiden2020,@greglaurie,#Biden2020
2400,bThe hardcore liberals and the hardcore Trumpers equally sound like idiots Election2020,1,,bThe hardcore liberals hardcore Trumpers equally sound idiots Election2020,,#Election2020
2401,bRT Jackson2020KAG DONALD TRUMP n f o r n SUPREME COURT JUSTICEn 2 0 2 4nn,1,,bRT Jackson2020KAG DONALD TRUMP SUPREME COURT JUSTICEn 2 0 2 4nn,@Jackson2020KAG,
2402,bAzerbaijani regime and armed units continue war crimes and shell civilian hospital in Stepanakert amid,0,covid19,bAzerbaijani regime armed units continue war crimes shell civilian hospital Stepanakert amid,,
2403,bBlackXtian mtgreenee OnePage PlatinumPlan rolandsmartin icecube aliciagarza great conversation,1,,bBlackXtian mtgreenee OnePage PlatinumPlan rolandsmartin icecube aliciagarza great conversation,@BlackXtian @mtgreenee @rolandsmartin @icecube @aliciagarza,#OnePage #PlatinumPlan #great #conversation
2404,bHow is Texas handling the BidenHarris2020 rally today nnOh right They arent going to Texas So much,1,,bHow Texas handling BidenHarris2020 rally today nnOh They going Texas So,,#BidenHarris2020
2405,bHey Minnesota you voted in Nixon please dont vote for JoeBiden because his corruption makes Nixon look like a,1,,bHey Minnesota voted Nixon dont vote JoeBiden corruption Nixon,@JoeBiden,#Minnesota #Nixon
2406,bKamala Harris target of more misinformation than Mike Pence data showsn LeftWing Politics democrat bernie,0,covid19,bKamala Harris target misinformation Mike Pence data showsn LeftWing Politics democrat bernie,,#LeftWing #Politics #democrat #bernie
2407,bThe only Job the GND will generate is the bankruptcy of America Which is the ultimate goal,1,,bThe Job GND will generate bankruptcy America Which ultimate goal,,#Job #GND #America
2408,bRT djdave1926 33 people died of covid in Westerton care home but no one from the SNP seems to bother with the place unless theres an,0,covid19,bRT djdave1926 33 people died covid Westerton care SNP bother place,@djdave1926,
2409,bRT LeaundraRoss Another thingnnIts the news publications channels to writereport bullshit stories about the elections so that you,0,corruption,bRT LeaundraRoss Another thingnnIts news publications channels writereport bullshit stories elections,@LeaundraRoss,
2410,bRT LouDobbs Tireless Effort RudyGiuliani says he is working day and night to expose the corruption of The Biden Crime Family MAGA,0,discrimination,bRT LouDobbs Tireless Effort RudyGiuliani working day night expose corruption The Biden Crime Family MAGA,@LouDobbs @RudyGiuliani,#MAGA
2411,bRT CindyMumz NBCNews 450000000 in debt to ChiiiiinanTrumpCrimeFamily,0,discrimination,bRT CindyMumz NBCNews 450000000 debt ChiiiiinanTrumpCrimeFamily,@CindyMumz @NBCNews,#TrumpCrimeFamily
2412,bHawaii gets it nnTrumpLiesPeopleDienBidenHarris2020,1,,bHawaii nnTrumpLiesPeopleDienBidenHarris2020,,#TrumpLiesPeopleDie #BidenHarris2020
2413,bAm I the only one who sees a NyQuilDayQuil commercial and just think they are totally tonedeaf right now considering COVID,1,,bAm I sees NyQuilDayQuil commercial totally tonedeaf considering COVID,@NyQuilDayQuil,#COVID
2414,brealDonaldTrump Yes Vote BidenHarris2020,1,,brealDonaldTrump Yes Vote BidenHarris2020,@realDonaldTrump,#BidenHarris2020
2415,bIf JoeBiden is elected World War 3 can,0,covid19,bIf JoeBiden elected World War 3,,#JoeBiden
2416,bRT eraseism bhweingarten have Covid19 over a thousand deaths a day Trump is using  be a sucker Vote for,0,others,bRT eraseism bhweingarten Covid19 deaths day Trump sucker Vote,@eraseism @bhweingarten,
2417,bRT davidrollman Hey everyone Honk your horn if you want JoeBiden to go away Honk your horn if you want Joe to answer real questions,1,,bRT davidrollman Hey Honk horn JoeBiden Honk horn Joe answer real questions,@davidrollman @JoeBiden,
2418,bA BBC News voxpop with a member of the public called Ray says Covid rules are there to be broken  admits to,0,corruption,bA BBC News voxpop member public called Ray Covid rules broken admits,,#Covid
2419,bNo wait Trumps motorcade is back now What the heck is happening,1,,bNo wait Trumps motorcade What heck happening,,#Trump
2420,bCorona virus India updates nncoronavirus coronarvirues CoronaOutbreak Wuhan China COVID19 India,1,,bCorona virus India updates nncoronavirus coronarvirues CoronaOutbreak Wuhan China COVID19 India,,#coronavirus #coronarvirues #CoronaOutbreak #Wuhan #China #COVID19 #India
2421,bReally jealous of every American who has the opportunity to vote their terrible leader out of office next week,0,covid19,bReally jealous American opportunity vote terrible leader office week,,
2422,bIf JoeBiden was trapped in a bear trap in China would you help him escape,0,covid19,bIf JoeBiden trapped bear trap China help escape,,#JoeBiden #China
2423,bICYMI CynthiaMcFadden Sr Investigative  Legal correspondent at NBCNews joined CPF codirectors Bob Shrum,1,,bICYMI CynthiaMcFadden Sr Investigative Legal correspondent NBCNews joined CPF codirectors Bob Shrum,@CynthiaMcFadden @NBCNews,#ICYMI
2424,brealDonaldTrump I guess theres no medical professionals in your voter base otherwise why in the hell would you,0,discrimination,brealDonaldTrump I guess medical professionals voter base hell,@realDonaldTrump,
2425,bRT eraseism TIME MAGA MAGA2020 nTrump is using You nOver 1000 Covid19 Deaths in America a day be a sucker Vote JoeBiden,0,covid19,bRT eraseism TIME MAGA MAGA2020 nTrump You nOver 1000 Covid19 Deaths America day sucker Vote JoeBiden,@eraseism @TIME @JoeBiden,#MAGA #MAGA2020
2426,bWatching a BidenHarris2020 win and then sleeping like a baby for the first time in 4 years,1,,bWatching BidenHarris2020 win sleeping baby time 4 years,,#BidenHarris2020
2427,bSo everything is about your covid footprint The less you give it the opportunity to escape from you if you ever,1,,bSo covid footprint The opportunity escape,,#covid
